,Accident_Index,Accident Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
239,200901BS70286,3/19/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.506187,Darkness - lights lit,Kensington and Chelsea,None,-0.209082,1,2,Metropolitan Police,Dry,Single carriageway,30,19:15,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
240,200901BS70288,6/11/2021,Thursday,Give way or uncontrolled,Crossroads,Slight,51.514399,Daylight,Kensington and Chelsea,None,-0.199248,4,2,Metropolitan Police,Dry,Single carriageway,30,9:10,Urban,Fine no high winds,Car
241,200901BS70289,6/11/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.503769,Darkness - lights lit,Kensington and Chelsea,None,-0.192174,1,2,Metropolitan Police,Dry,Single carriageway,30,22:10,Urban,Fine no high winds,Motorcycle over 500cc
242,200901BS70290,6/11/2021,Thursday,Give way or uncontrolled,Private drive or entrance,Slight,51.480233,Daylight,Kensington and Chelsea,None,-0.18216,1,2,Metropolitan Police,Dry,Single carriageway,30,19:15,Urban,Fine no high winds,Car
243,200901BS70291,6/11/2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.4841,Daylight,Kensington and Chelsea,None,-0.176389,1,1,Metropolitan Police,Dry,Single carriageway,30,17:01,Urban,Fine no high winds,Car
244,200901BS70292,6/12/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.502114,Daylight,Kensington and Chelsea,None,-0.18979,1,2,Metropolitan Police,Dry,Single carriageway,30,8:00,Urban,Fine no high winds,Car
245,200901BS70293,6/11/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.50849,Daylight,Kensington and Chelsea,None,-0.200922,1,2,Metropolitan Police,Dry,Single carriageway,30,8:35,Urban,Fine no high winds,Car
246,200901BS70294,6/10/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.492968,Daylight,Kensington and Chelsea,None,-0.162637,1,1,Metropolitan Police,Dry,Single carriageway,30,9:05,Urban,Fine no high winds,Car
247,200901BS70295,6/12/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.49999,Daylight,Kensington and Chelsea,None,-0.163075,1,3,Metropolitan Police,Dry,Dual carriageway,30,8:55,Urban,Fine no high winds,Car
248,200901BS70296,6/5/2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.519902,Daylight,Kensington and Chelsea,None,-0.212148,1,2,Metropolitan Police,Dry,Single carriageway,30,9:25,Urban,Fine no high winds,Car
249,200901BS70297,6/12/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.508627,Daylight,Kensington and Chelsea,None,-0.215759,1,2,Metropolitan Police,Dry,Single carriageway,30,17:28,Urban,Fine no high winds,Car
250,200901BS70298,6/12/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.506099,Daylight,Kensington and Chelsea,None,-0.20923,1,3,Metropolitan Police,Dry,Single carriageway,30,19:03,Urban,Fine no high winds,Car
251,200901BS70300,5/31/2021,Sunday,Auto traffic signal,Crossroads,Slight,51.502577,Daylight,Kensington and Chelsea,None,-0.214123,1,2,Metropolitan Police,Dry,Single carriageway,30,10:30,Urban,Fine no high winds,Car
252,200901BS70301,6/8/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.502159,Daylight,Kensington and Chelsea,None,-0.186906,1,2,Metropolitan Police,Dry,Single carriageway,30,14:45,Urban,Fine no high winds,Car
253,200901BS70302,6/9/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.482637,Daylight,Kensington and Chelsea,None,-0.186385,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,10:56,Urban,Fine no high winds,Car
254,200901BS70303,6/16/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.484273,Daylight,Kensington and Chelsea,None,-0.158666,1,2,Metropolitan Police,Dry,Single carriageway,30,18:45,Urban,Fine no high winds,Car
255,200901BS70304,6/15/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.497592,Daylight,Kensington and Chelsea,None,-0.159282,1,2,Metropolitan Police,Dry,Single carriageway,30,16:20,Urban,Fine no high winds,Car
256,200901BS70305,6/14/2021,Sunday,Give way or uncontrolled,Private drive or entrance,Slight,51.496665,Daylight,Kensington and Chelsea,None,-0.168972,1,2,Metropolitan Police,Dry,Single carriageway,30,12:35,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
257,200901BS70306,6/9/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.506185,Daylight,Kensington and Chelsea,None,-0.208938,1,2,Metropolitan Police,Dry,Single carriageway,30,16:50,Urban,Fine no high winds,Car
258,200901BS70307,6/12/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.517022,Darkness - lights lit,Kensington and Chelsea,None,-0.206063,1,1,Metropolitan Police,Dry,Single carriageway,30,2:04,Urban,Fine no high winds,Car
259,200901BS70308,6/15/2021,Monday,Auto traffic signal,Crossroads,Serious,51.491173,Daylight,Kensington and Chelsea,None,-0.18014,1,2,Metropolitan Police,Dry,Single carriageway,30,11:00,Urban,Fine no high winds,Car
260,200901BS70309,6/9/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.485633,Daylight,Kensington and Chelsea,None,-0.165093,1,1,Metropolitan Police,Dry,Single carriageway,30,12:00,Urban,Fine no high winds,Car
261,200901BS70310,6/15/2021,Monday,Give way or uncontrolled,Crossroads,Slight,51.512443,Daylight,Kensington and Chelsea,None,-0.206531,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,19:30,Urban,Raining no high winds,Bus or coach (17 or more pass seats)
262,200901BS70311,6/12/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.501545,Daylight,Kensington and Chelsea,None,-0.19961,2,2,Metropolitan Police,Dry,Single carriageway,30,16:15,Urban,Fine no high winds,Car
263,200901BS70312,6/11/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.503223,Daylight,Kensington and Chelsea,None,-0.191763,1,2,Metropolitan Police,Dry,Single carriageway,30,18:45,Urban,Fine no high winds,Car
264,200901BS70313,6/17/2021,Wednesday,Auto traffic signal,Crossroads,Slight,51.487021,Daylight,Kensington and Chelsea,None,-0.179153,1,2,Metropolitan Police,Dry,Single carriageway,30,15:25,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
265,200901BS70314,6/19/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.484282,Daylight,Kensington and Chelsea,None,-0.159242,2,2,Metropolitan Police,Dry,Single carriageway,30,13:35,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
266,200901BS70315,6/16/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.486145,Daylight,Kensington and Chelsea,None,-0.180628,1,1,Metropolitan Police,Dry,Single carriageway,30,12:34,Urban,Fine no high winds,Car
267,200901BS70316,6/18/2021,Thursday,Auto traffic signal,T or staggered junction,Serious,51.502044,Daylight,Kensington and Chelsea,None,-0.19109,1,2,Metropolitan Police,Dry,Single carriageway,30,8:01,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
268,200901BS70317,6/17/2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.494517,Daylight,Kensington and Chelsea,None,-0.169634,1,3,Metropolitan Police,Dry,Single carriageway,30,18:03,Urban,Fine no high winds,Car
269,200901BS70318,6/19/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.505849,Daylight,Kensington and Chelsea,None,-0.210536,2,2,Metropolitan Police,Dry,Single carriageway,30,13:11,Urban,Fine no high winds,Car
270,200901BS70319,6/17/2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.49185,Daylight,Kensington and Chelsea,None,-0.171614,1,2,Metropolitan Police,Dry,Single carriageway,30,11:40,Urban,Fine no high winds,Car
271,200901BS70320,6/20/2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.499686,Daylight,Kensington and Chelsea,None,-0.183979,1,2,Metropolitan Police,Dry,Single carriageway,30,12:43,Urban,Fine no high winds,Car
272,200901BS70321,3/26/2021,Thursday,Auto traffic signal,Crossroads,Slight,51.492659,Daylight,Kensington and Chelsea,None,-0.200681,1,2,Metropolitan Police,Dry,Dual carriageway,30,11:30,Urban,Fine no high winds,Car
273,200901BS70324,8/14/2021,Friday,Auto traffic signal,Crossroads,Slight,51.512947,Daylight,Kensington and Chelsea,None,-0.204205,1,2,Metropolitan Police,Dry,Single carriageway,30,7:25,Urban,Fine no high winds,Car
274,200901BS70325,6/23/2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.482076,Daylight,Kensington and Chelsea,None,-0.173445,1,2,Metropolitan Police,Dry,Single carriageway,30,13:30,Urban,Fine no high winds,Car
275,200901BS70326,6/26/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.52456,Daylight,Kensington and Chelsea,None,-0.210956,1,1,Metropolitan Police,Dry,One way street,30,15:40,Urban,Fine no high winds,Car
276,200901BS70327,6/28/2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.486015,Darkness - lights lit,Kensington and Chelsea,None,-0.172279,1,3,Metropolitan Police,Dry,Single carriageway,30,22:50,Urban,Fine no high winds,Car
277,200901BS70328,6/25/2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.525339,Daylight,Kensington and Chelsea,None,-0.214818,2,1,Metropolitan Police,Dry,Single carriageway,30,12:48,Urban,Fine no high winds,Car
278,200901BS70329,6/25/2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.501768,Daylight,Kensington and Chelsea,None,-0.184905,1,1,Metropolitan Police,Dry,Single carriageway,30,19:30,Urban,Fine no high winds,Car
279,200901BS70330,6/27/2021,Saturday,Auto traffic signal,Crossroads,Serious,51.490683,Daylight,Kensington and Chelsea,None,-0.183328,1,1,Metropolitan Police,Dry,Single carriageway,30,20:04,Urban,Fine no high winds,Car
280,200901BS70331,6/21/2021,Sunday,Auto traffic signal,Roundabout,Slight,51.504054,Daylight,Hammersmith and Fulham,None,-0.216658,1,2,Metropolitan Police,Dry,Roundabout,30,19:25,Urban,Fine no high winds,Car
281,200901BS70332,6/29/2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.494685,Daylight,Kensington and Chelsea,None,-0.192101,2,1,Metropolitan Police,Dry,Dual carriageway,30,8:30,Urban,Fine no high winds,Car
282,200901BS70333,6/24/2021,Wednesday,Give way or uncontrolled,Mini-roundabout,Slight,51.493031,Daylight,Kensington and Chelsea,None,-0.183955,1,2,Metropolitan Police,Dry,Single carriageway,30,16:35,Urban,Fine no high winds,Car
283,200901BS70334,6/27/2021,Saturday,Auto traffic signal,Crossroads,Slight,51.515172,Daylight,Kensington and Chelsea,None,-0.208585,1,2,Metropolitan Police,Dry,Single carriageway,30,15:32,Urban,Fine no high winds,Car
284,200901BS70335,6/21/2021,Sunday,Give way or uncontrolled,Crossroads,Slight,51.48771,Daylight,Kensington and Chelsea,None,-0.188776,1,2,Metropolitan Police,Dry,Single carriageway,30,17:57,Urban,Fine no high winds,Car
285,200901BS70336,6/29/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.48483,Daylight,Kensington and Chelsea,None,-0.182841,1,2,Metropolitan Police,Dry,Single carriageway,30,9:20,Urban,Other,Car
286,200901BS70337,6/23/2021,Tuesday,Auto traffic signal,More than 4 arms (not roundabout),Serious,51.493966,Daylight,Kensington and Chelsea,None,-0.174698,1,2,Metropolitan Police,Dry,Single carriageway,30,18:30,Urban,Fine no high winds,Car
287,200901BS70338,6/30/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.494593,Daylight,Kensington and Chelsea,None,-0.168767,1,2,Metropolitan Police,Dry,Single carriageway,30,12:00,Urban,Fine no high winds,Car
288,200901BS70339,6/30/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.495811,Daylight,Kensington and Chelsea,None,-0.171887,1,2,Metropolitan Police,Dry,Single carriageway,30,11:37,Urban,Fine no high winds,Car
289,200901BS70340,6/25/2021,Thursday,Auto traffic signal,Crossroads,Slight,51.493761,Daylight,Kensington and Chelsea,None,-0.178884,1,2,Metropolitan Police,Dry,Dual carriageway,30,16:50,Urban,Fine no high winds,Car
290,200901BS70341,6/23/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.494087,Daylight,Kensington and Chelsea,None,-0.182473,1,1,Metropolitan Police,Dry,Single carriageway,30,16:08,Urban,Fine no high winds,Motorcycle over 500cc
291,200901BS70342,6/15/2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.527783,Darkness - lights lit,Westminster,None,-0.215876,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,22:55,Urban,Raining no high winds,Car
292,200901BS70343,7/2/2021,Thursday,Auto traffic signal,Crossroads,Slight,51.482074,Darkness - lights lit,Kensington and Chelsea,None,-0.173301,1,2,Metropolitan Police,Dry,Single carriageway,30,21:45,Urban,Fine no high winds,Car
293,200901BS70344,7/3/2021,Friday,Auto traffic signal,Crossroads,Slight,51.48342,Daylight,Kensington and Chelsea,None,-0.167342,1,2,Metropolitan Police,Dry,Single carriageway,30,7:37,Urban,Fine no high winds,Car
294,200901BS70345,7/5/2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.501766,Daylight,Kensington and Chelsea,None,-0.184761,1,2,Metropolitan Police,Dry,Single carriageway,30,14:11,Urban,Fine no high winds,Car
295,200901BS70346,7/4/2021,Saturday,Auto traffic signal,Crossroads,Slight,51.489442,Daylight,Kensington and Chelsea,None,-0.190292,2,2,Metropolitan Police,Dry,Single carriageway,30,19:10,Urban,Fine no high winds,Motorcycle 125cc and under
296,200901BS70347,7/3/2021,Friday,Give way or uncontrolled,Crossroads,Slight,51.490517,Daylight,Kensington and Chelsea,None,-0.178437,1,2,Metropolitan Police,Dry,Single carriageway,30,20:00,Urban,Fine no high winds,Car
297,200901BS70348,7/3/2021,Friday,Auto traffic signal,Crossroads,Slight,51.484361,Daylight,Kensington and Chelsea,None,-0.175802,1,2,Metropolitan Police,Dry,Single carriageway,30,8:42,Urban,Fine no high winds,Car
298,200901BS70349,7/3/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.487657,Daylight,Kensington and Chelsea,None,-0.168036,1,2,Metropolitan Police,Dry,Single carriageway,30,18:45,Urban,Fine no high winds,Car
299,200901BS70350,7/2/2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.507623,Darkness - lights lit,Kensington and Chelsea,None,-0.21479,1,1,Metropolitan Police,Dry,Single carriageway,30,23:00,Urban,Fine no high winds,Car
300,200901BS70351,7/1/2021,Wednesday,Give way or uncontrolled,Crossroads,Slight,51.51417,Darkness - lights lit,Kensington and Chelsea,None,-0.20776,1,2,Metropolitan Police,Dry,Single carriageway,30,20:40,Urban,Fine no high winds,Car
301,200901BS70352,6/27/2021,Saturday,Auto traffic signal,T or staggered junction,Slight,51.493607,Daylight,Kensington and Chelsea,None,-0.16895,1,2,Metropolitan Police,Dry,Single carriageway,30,9:30,Urban,Fine no high winds,Car
302,200901BS70353,7/4/2021,Saturday,Give way or uncontrolled,Crossroads,Serious,51.487637,Daylight,Kensington and Chelsea,None,-0.178264,1,2,Metropolitan Police,Dry,Single carriageway,30,16:30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
303,200901BS70354,6/24/2021,Wednesday,Auto traffic signal,Crossroads,Slight,51.489535,Daylight,Kensington and Chelsea,None,-0.155861,1,2,Metropolitan Police,Dry,Single carriageway,30,8:45,Urban,Fine no high winds,Car
304,200901BS70355,7/5/2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.495361,Daylight,Kensington and Chelsea,None,-0.177668,1,2,Metropolitan Police,Dry,Single carriageway,30,13:30,Urban,Fine no high winds,Car
305,200901BS70356,6/24/2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.494756,Daylight,Kensington and Chelsea,None,-0.185039,1,2,Metropolitan Police,Dry,Single carriageway,30,15:40,Urban,Fine no high winds,Car
306,200901BS70357,6/25/2021,Thursday,Give way or uncontrolled,Crossroads,Slight,51.485581,Daylight,Kensington and Chelsea,None,-0.173305,1,1,Metropolitan Police,Dry,Single carriageway,30,9:00,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
307,200901BS70358,6/27/2021,Saturday,Auto traffic signal,T or staggered junction,Slight,51.507206,Daylight,Kensington and Chelsea,None,-0.205151,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,19:05,Urban,Raining no high winds,Car
308,200901BS70359,7/7/2021,Tuesday,Give way or uncontrolled,Roundabout,Slight,51.520005,Daylight,Kensington and Chelsea,None,-0.224828,1,2,Metropolitan Police,Dry,Roundabout,30,12:00,Urban,Fine no high winds,Car
309,200901BS70360,7/10/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.511621,Daylight,Kensington and Chelsea,None,-0.194025,1,2,Metropolitan Police,Dry,Single carriageway,30,8:34,Urban,Fine no high winds,Car
310,200901BS70361,7/10/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.521272,Daylight,Kensington and Chelsea,None,-0.213535,1,2,Metropolitan Police,Dry,Single carriageway,30,17:00,Urban,Fine no high winds,Car
311,200901BS70362,7/8/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.512346,Daylight,Kensington and Chelsea,None,-0.21792,1,3,Metropolitan Police,Dry,Single carriageway,30,13:18,Urban,Fine no high winds,Car
312,200901BS70364,7/6/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.494756,Daylight,Kensington and Chelsea,None,-0.185039,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,15:20,Urban,Raining no high winds,Car
313,200901BS70365,7/10/2021,Friday,Auto traffic signal,Crossroads,Slight,51.502577,Daylight,Kensington and Chelsea,None,-0.214123,1,2,Metropolitan Police,Dry,Single carriageway,30,15:36,Urban,Fine no high winds,Car
314,200901BS70366,7/8/2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.496471,Daylight,Kensington and Chelsea,None,-0.173878,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,16:23,Urban,Raining no high winds,Car
315,200901BS70367,7/11/2021,Saturday,Auto traffic signal,Crossroads,Slight,51.49265,Daylight,Kensington and Chelsea,None,-0.200105,1,2,Metropolitan Police,Dry,Dual carriageway,30,11:50,Urban,Fine no high winds,Motorcycle over 500cc
316,200901BS70368,7/8/2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.486451,Daylight,Kensington and Chelsea,None,-0.171397,1,1,Metropolitan Police,Dry,Single carriageway,30,10:00,Urban,Fine no high winds,Car
317,200901BS70369,7/4/2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.488493,Daylight,Kensington and Chelsea,None,-0.181255,1,2,Metropolitan Police,Dry,Single carriageway,30,8:51,Urban,Fine no high winds,Car
318,200901BS70371,7/9/2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.499201,Daylight,Kensington and Chelsea,None,-0.164404,2,4,Metropolitan Police,Dry,Single carriageway,30,8:10,Urban,Other,Car
319,200901BS70372,7/10/2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.503495,Daylight,Kensington and Chelsea,None,-0.215384,1,2,Metropolitan Police,Dry,Single carriageway,30,10:09,Urban,Fine no high winds,Car
320,200901BS70373,7/14/2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.491899,Daylight,Kensington and Chelsea,None,-0.157494,1,1,Metropolitan Police,Dry,Single carriageway,30,15:40,Urban,Fine no high winds,Car
321,200901BS70374,7/14/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.482582,Daylight,Kensington and Chelsea,None,-0.171264,1,2,Metropolitan Police,Dry,Single carriageway,30,18:30,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
322,200901BS70375,7/6/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.500477,Daylight,Kensington and Chelsea,None,-0.194465,1,2,Metropolitan Police,Dry,One way street,30,15:15,Urban,Fine no high winds,Motorcycle over 500cc
323,200901BS70376,7/13/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.499455,Daylight,Kensington and Chelsea,None,-0.209922,1,2,Metropolitan Police,Dry,Single carriageway,30,15:30,Urban,Fine no high winds,Car
324,200901BS70377,5/17/2021,Sunday,Give way or uncontrolled,Crossroads,Serious,51.51508,Daylight,Kensington and Chelsea,None,-0.208445,1,2,Metropolitan Police,Dry,Single carriageway,30,14:15,Urban,Fine no high winds,Car
325,200901BS70378,7/14/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.499635,Daylight,Kensington and Chelsea,None,-0.163378,1,2,Metropolitan Police,Dry,Dual carriageway,30,9:12,Urban,Fine no high winds,Car
326,200901BS70379,6/30/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.492714,Daylight,Kensington and Chelsea,None,-0.157893,1,1,Metropolitan Police,Dry,Single carriageway,30,10:20,Urban,Fine no high winds,Car
327,200901BS70380,7/3/2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.50191,Daylight,Westminster,None,-0.159396,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,5:15,Urban,Other,Motorcycle 50cc and under
328,200901BS70381,7/16/2021,Thursday,Give way or uncontrolled,T or staggered junction,Serious,51.486622,Daylight,Kensington and Chelsea,None,-0.170814,1,2,Metropolitan Police,Dry,Single carriageway,30,9:00,Urban,Fine no high winds,Car
329,200901BS70382,7/15/2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.496862,Darkness - lights lit,Kensington and Chelsea,None,-0.204981,1,2,Metropolitan Police,Dry,Single carriageway,30,23:00,Urban,Fine no high winds,Car
330,200901BS70383,7/15/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.487745,Daylight,Kensington and Chelsea,None,-0.167889,1,2,Metropolitan Police,Dry,Single carriageway,30,16:35,Urban,Fine no high winds,Car
331,200901BS70385,7/11/2021,Saturday,Give way or uncontrolled,Mini-roundabout,Slight,51.523977,Darkness - lights lit,Kensington and Chelsea,None,-0.214006,1,2,Metropolitan Police,Dry,Roundabout,30,1:25,Urban,Fine no high winds,Car
332,200901BS70387,7/20/2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.500736,Daylight,Kensington and Chelsea,None,-0.193735,1,1,Metropolitan Police,Dry,Single carriageway,30,16:12,Urban,Fine no high winds,Car
333,200901BS70388,7/9/2021,Thursday,Give way or uncontrolled,Crossroads,Slight,51.494521,Daylight,Kensington and Chelsea,None,-0.158397,1,2,Metropolitan Police,Dry,Single carriageway,30,17:10,Urban,Fine no high winds,Car
334,200901BS70389,7/18/2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.506189,Daylight,Kensington and Chelsea,None,-0.209226,2,2,Metropolitan Police,Dry,Single carriageway,30,18:15,Urban,Fine no high winds,Car
335,200901BS70390,7/20/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.492804,Darkness - lights lit,Kensington and Chelsea,None,-0.15789,1,2,Metropolitan Police,Dry,Single carriageway,30,20:05,Urban,Fine no high winds,Car
336,200901BS70392,7/20/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.493163,Daylight,Kensington and Chelsea,None,-0.186687,1,2,Metropolitan Police,Dry,Single carriageway,30,8:45,Urban,Fine no high winds,Car
337,200901BS70394,7/19/2021,Sunday,Give way or uncontrolled,Crossroads,Slight,51.486026,Daylight,Kensington and Chelsea,None,-0.161476,1,2,Metropolitan Police,Dry,Single carriageway,30,11:58,Urban,Fine no high winds,Car
338,200901BS70395,7/2/2021,Thursday,Auto traffic signal,Crossroads,Slight,51.495197,Daylight,Kensington and Chelsea,None,-0.178683,1,1,Metropolitan Police,Dry,Single carriageway,30,15:30,Urban,Fine no high winds,Motorcycle over 500cc
339,200901BS70396,7/16/2021,Thursday,Auto traffic signal,Crossroads,Slight,51.484361,Daylight,Kensington and Chelsea,None,-0.175802,2,2,Metropolitan Police,Dry,Single carriageway,30,18:25,Urban,Fine no high winds,Car
340,200901BS70397,7/20/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.51742,Daylight,Kensington and Chelsea,None,-0.202732,1,1,Metropolitan Police,Dry,Single carriageway,30,7:38,Urban,Fine no high winds,Motorcycle over 500cc
341,200901BS70398,7/23/2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.494541,Daylight,Kensington and Chelsea,None,-0.182743,1,1,Metropolitan Police,Dry,Single carriageway,30,17:08,Urban,Fine no high winds,Car
342,200901BS70401,7/23/2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.486339,Daylight,Kensington and Chelsea,None,-0.18739,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,18:00,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
343,200901BS70402,7/13/2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.517371,Darkness - lights lit,Kensington and Chelsea,None,-0.211238,2,2,Metropolitan Police,Dry,Dual carriageway,50,19:30,Urban,Fine no high winds,Car
344,200901BS70403,7/22/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.494281,Daylight,Kensington and Chelsea,None,-0.177567,1,2,Metropolitan Police,Dry,Single carriageway,30,18:08,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
345,200901BS70404,7/22/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.478416,Daylight,Kensington and Chelsea,None,-0.180936,1,3,Metropolitan Police,Dry,Single carriageway,30,17:50,Urban,Fine no high winds,Car
346,200901BS70406,7/21/2021,Tuesday,Give way or uncontrolled,Roundabout,Slight,51.517796,Daylight,Kensington and Chelsea,None,-0.215545,1,2,Metropolitan Police,Wet or damp,Roundabout,30,16:20,Urban,Raining no high winds,Motorcycle 50cc and under
347,200901BS70407,7/23/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.496086,Daylight,Kensington and Chelsea,None,-0.207173,1,2,Metropolitan Police,Dry,Single carriageway,30,20:40,Urban,Fine no high winds,Car
348,200901BS70408,7/5/2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.509629,Daylight,Kensington and Chelsea,None,-0.193095,1,1,Metropolitan Police,Dry,Single carriageway,30,19:20,Urban,Fine no high winds,Motorcycle over 500cc
349,200901BS70409,7/26/2021,Sunday,Give way or uncontrolled,Crossroads,Serious,51.514399,Darkness - lights lit,Kensington and Chelsea,None,-0.199248,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,20:51,Urban,Raining no high winds,Car
350,200901BS70410,7/25/2021,Saturday,Auto traffic signal,Crossroads,Slight,51.493429,Daylight,Kensington and Chelsea,None,-0.169101,1,2,Metropolitan Police,Dry,Single carriageway,30,17:25,Urban,Fine no high winds,Motorcycle over 500cc
351,200901BS70412,7/28/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.48896,Daylight,Kensington and Chelsea,None,-0.165103,1,2,Metropolitan Police,Dry,Single carriageway,30,9:45,Urban,Fine no high winds,Car
352,200901BS70413,7/21/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.48024,Daylight,Kensington and Chelsea,None,-0.182591,1,1,Metropolitan Police,Dry,Single carriageway,30,7:12,Urban,Fine no high winds,Motorcycle over 500cc
